epoch,accuracy,loss,val_accuracy,val_loss
26,0.8248765,0.35394836535997654,0.833034098148346,0.3941362929301373
27,0.83161205,0.36578764428886856,0.8276481032371521,0.402241706420104
28,0.8284688,0.35396542728991054,0.833034098148346,0.38736991479966115
29,0.830714,0.35934258816110537,0.8204667568206787,0.3859925581480057
30,0.8298159,0.34739188834536383,0.8294434547424316,0.35899488673389923
31,0.82936686,0.3505098199731949,0.8222621083259583,0.37215421829018175
32,0.83161205,0.34055891412226247,0.8312388062477112,0.38610140596728776
33,0.8334082,0.34765524942081605,0.833034098148346,0.37261045589053227
34,0.8347553,0.34489207958687995,0.8402154445648193,0.38119403239426536
35,0.8387966,0.34434519901530436,0.8258528113365173,0.37909593680602643
36,0.8374495,0.34267964603176126,0.8402154445648193,0.36742353760361457
